Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
Re-Steel,https://www.crunchbase.com/organization/re-steel,1999-01-01,year,11-50,,https://re-steel.com,"Aerospace, Manufacturing, Productivity Tools, Service Industry","Denver, Colorado, United States","Re-Steel is a premier supplier of aerospace invar plates, tube products, and services.","1,691,503",,,,,,,,,,,,
Paper clips,https://www.crunchbase.com/organization/paper-clips,1999-01-01,year,1-10,,https://www.paperclipsinc.com,"Office Administration, Productivity Tools, Wholesale","Hasbrouck Heights, New Jersey, United States","Paper clips deal in office supplies and offer furniture, cleaning, laboratory and technology products to schools, businesses and government.","1,799,048","1,335",,,,4,2,,0%,,"6,497,691",,
Liner Products,https://www.crunchbase.com/organization/liner-products,1999-01-01,year,11-50,,https://linerproducts.com/,"Industrial, Lighting, Logistics, Manufacturing, Productivity Tools","Paoli, Indiana, United States","Liner Products manufactures CIPP tubes, lights, resin-saturated liners, and ancillary products for heat and UV light-curing applications.","1,874,895",,,,,,,,,,,,
ImpactXoft,https://www.crunchbase.com/organization/impactxoft,1999-01-01,year,,ImpactXoft develops a product suite used for product development. ImpactXoft's solutions combine an advanced design tool and the ability to connect globally dispersed development groups and speed up the design and production processes. It enables the cost-effective production of high-quality products in a shorter amount of time.,,"Product Design, Productivity Tools, Software","San Jose, California, United States",ImpactXoft develops a product suite used for product development.,"1,939,789",,,,,,,,,,,,
Netix Soft,https://www.crunchbase.com/organization/netix-soft,1999-01-01,day,1-10,,http://www.netix.es,"Cloud Data Services, Productivity Tools, Software","Reus, Catalonia, Spain",Netix Soft is a software tool development company.,"2,140,739",,,,,,,,,,,,
Moulages Industriels de Bellevaux,https://www.crunchbase.com/organization/moulages-industriels-de-bellevaux,1999-04-11,day,1-10,,http://www.mib74.com,"3D Technology, Industrial, Manufacturing, Product Design, Productivity Tools","Bellevaux, Rhone-Alpes, France","Moulages Industriels de Bellevaux is an industrial company that offers production monitoring, CNC machining, tool, and 3D design services.","2,012,150",,,,,,,,,,,,
Diamondback Industries,https://www.crunchbase.com/organization/diamondback-industries,1999-07-01,month,101-250,,https://diamondbackindustries.com/,"Industrial Engineering, Machinery Manufacturing, Manufacturing, Mechanical Engineering, Productivity Tools","Crowley, Texas, United States","Diamondback Industries manufactures power charges, igniters, abandonment plugs, disposable setting tools, and conventional products.","258,048","1,646",,,,0,1,,100%,,"5,581,316",,
The Game Creators,https://www.crunchbase.com/organization/the-game-creators,1999-11-01,day,11-50,"The Game Creators develop and publish affordable, cutting edge game tools for PC consumers. Flagship products include Dark Basic Professional, FPS Creator and the new Facebook application Social Arcade. The UK based company works closely with industry giants such as NVIDIA and Microsoft to bring a wide range of game making tools to the masses. For many years the company has also developed learning to drive simulations for a UK publisher.",http://www.thegamecreators.com,"Gaming, Productivity Tools, Web Development","Macclesfield, Cheshire East, United Kingdom","The Game Creators develops and publishes gaming tools and applications such as Dark Basic Professional, FPS Creator, and Social Arcade.","296,867","80,809","44,760.17",251.33%,21.01%,288,2.92,14.41%,50.57%,3.65%,"631,505","-743,998",-54.09%
Glitch,https://www.crunchbase.com/organization/glitch,2000-01-01,year,101-250,"Glitch is a simple but powerful tool for creating websites and full-stack apps, supported by a fun and friendly community of creators—from brand new coders to expert developers. Glitch’s editor is like Google Docs for coding. The code editor lets multiple people work in the same project at the same time. And there's no messy install or set-up process: Go to Glitch.com, start a new project, and everything you create publishes to the web automatically (and every change updates just as soon as you make it). And it's supported by a community of creators who have created more than 2.5 million apps, all ready to remix and customize. Glitch was founded as Fog Creek Software, the company behind Trello and Stack Overflow, by Joel Spolsky and Michael Pryor. Anil Dash is its CEO.",https://glitch.com/,"Enterprise Software, Internet, Productivity Tools, Project Management, Social Network, Software","New York, New York, United States",Glitch is the friendly community where everyone builds the web.,"14,900","762,951","725,389.5",0.86%,-29.78%,705,2.33,-20.87%,59.71%,12.11%,"134,224","4,082",3.14%
Science Warehouse,https://www.crunchbase.com/organization/science-warehouse,2000-01-01,year,51-100,"Science Warehouse provides cloud-based spend management platform and e-marketplace systems designed to drive efficiencies through the source-to-settle process. The company's spend management platform and e-marketplace systems gives the customer control of the purchasing cycle from requisition through to payment helping to deliver cost savings and to manage spending. Science Warehouse operates in the idea that customers need to contend with increasing demands using limited resources in fast-changing markets. For Science Warehouse, organisations that respond to this challenge by embracing technology and collaboration, are more likely to achieve their strategic goals and grow. Science Warehouse was established in year 2000 and is based in United Kingdom.",https://www.sciencewarehouse.com/,"E-Commerce, Information Services, Information Technology, Marketplace, Productivity Tools, Software, Supply Chain Management","Leeds, Leeds, United Kingdom",Science Warehouse provides cloud-based spend management platform and e-marketplace systems.,"88,357",,,,,,,,,,,,
Sequence Video,https://www.crunchbase.com/organization/roari,2000-01-01,year,1-10,,http://www.sequence.video,"Advertising, Productivity Tools, Professional Services, Software","Santa Monica, California, United States","Sequence is a video creation tool that enables companies, brands, and fans to create professional quality videos in seconds.","129,238",,,,,,,,,,,,
Metadot,https://www.crunchbase.com/organization/metadot,2000-01-01,year,11-50,,https://metadot.com,"Business Development, Hardware, Productivity Tools, Software","Austin, Texas, United States","Metadot offers software solutions, productivity tools and hardware products to various businesses.","306,818",748,,-41.47%,,0,1,0%,100%,0%,"7,506,565","1,037,324",16.03%
Silpion,https://www.crunchbase.com/organization/silpion,2000-01-01,day,251-500,,http://www.silpion.de,"Advertising, Events, Marketing, Productivity Tools","Hamburg, Hamburg, Germany","Silpion is an agency that offers marketing, corporate communication, events, and digital tools.","430,461",913,,-26.43%,172.22%,0,1,0%,100%,0%,"7,151,398","601,573",9.18%
Cyberweld,https://www.crunchbase.com/organization/cyberweld,2000-01-01,year,11-50,,https://cyberweld.com,"E-Commerce, Productivity Tools, Wholesale","Roselle, New Jersey, United States","Cyberweld is an online shop that offers all sorts of welding parts, gas apparatus, plasma cutters, and tools.","499,930","107,986","110,693.17",50.97%,178.6%,755,3.61,33.82%,55.56%,18.77%,"521,100","-142,154",-21.43%
Delta Solutions & Strategies,https://www.crunchbase.com/organization/delta-solutions-strategies,2000-01-01,year,101-250,,https://www.deltasands.com/,"Information Technology, Productivity Tools, Software, Technical Support","Colorado Springs, Colorado, United States","Delta Solutions & Strategies deals with communication & technical support, engineering & IT services for electronic space & missile systems.","535,694",,,,,,,,,,,,
Rib,https://www.crunchbase.com/organization/rib,2000-01-01,day,501-1000,"RIB are pushed by new trends and technologies, and it is their main purpose to push the construction and engineering industry forward improve efficiency and ecological.",http://www.rib-software.dk,"Information Technology, Productivity Tools, Software","Copenhagen, Hovedstaden, Denmark",Rib develops and offers integrated solutions and digital tools to the construction industries to reduce risk in all phases of construction.,"676,848","9,457","7,470.17",76.57%,106.84%,242,1.1,-21.48%,90.11%,22.83%,"2,305,889","-992,537",-30.09%
Proden Technologies,https://www.crunchbase.com/organization/proden-technologies,2000-01-01,day,11-50,,http://prodentechnologies.net,"Analytics, Business Intelligence, Data Integration, Productivity Tools","Cheyenne, Wyoming, United States","Proden Technologies is a tool developing firm that offers services for data integration tools, data quality tools and business intelligence.","880,893",,,,,,,,,,,,
Ormonde Machinery,https://www.crunchbase.com/organization/ormonde-machinery,2000-01-01,year,1-10,,http://www.ormondemachinery.com/,"Construction, Industrial, Machinery Manufacturing, Manufacturing, Mining, Productivity Tools, Recycling","Magherafelt, Magherafelt, United Kingdom","Ormonde Machinery is a manufacturing company that provides construction, mining, quarrying, recycling, and rock processing equipment.","893,577",,,,,,,,,,,,
HMT MachineTools,https://www.crunchbase.com/organization/hmt-machinetools,2000-01-01,year,101-250,"HMT Machine Tools manufactures and services circular saw blades for the wood, stone, paper, and metalworking industries.  HMT Machine Tools manufactures and services circular saw blades for the wood, stone, paper, and metalworking industries.  The company offers new machine tools including gerling brazing machines, saw blade grinding machines, polishers, tensioners, shot blasters, and quality control systems. The company sells loroch circular saw sharpening machinery, bandsaw sharpening machinery, inspection equipment, as well as ELITE cooling and filtering systems.",http://www.hmtmachinery.com,"Industrial, Manufacturing, Productivity Tools, Sales","Charleston, South Carolina, United States",HMT Machine Tools produces saw blades and cylindrical cutting tools.,"955,883",,,,,,,,,,,,
Enginering Fluid Solutions,https://www.crunchbase.com/organization/enginering-fluid-solutions,2000-01-01,year,1-10,,https://www.efsfilter.com/,"Industrial, Manufacturing, Product Design, Productivity Tools, Project Management","Lakewood, Colorado, United States","Enginering Fluid Solutions is a manufacturer of automatic liquid-solid separators, metal extraction equipment, and clarification systems.","1,177,236",,,,,,,,,,,,
Prosema,https://www.crunchbase.com/organization/prosema,2000-01-01,year,11-50,"Prosema is an industrial manufacturer of sheet metal and mechanically welded equipment, provides services that include casing and mechanical welding, boiler making, water jet cutting, machine protection (casing), and mechanically welded assemblies, for the food and cosmetics industries, and pharmaceuticals, also provide stainless steel, aluminum, and steel, casing consists of installing protection to isolate the dangerous parts of a machine.",https://www.prosema.fr,"Industrial, Manufacturing, Mechanical Engineering, Productivity Tools, Security","Moult, Basse-Normandie, France",Prosema produces sheet metal and mechanically welded equipment.,"1,186,652",,,,,,,,,,,,
RoVerTec,https://www.crunchbase.com/organization/rovertec,2000-01-01,day,1-10,,http://www.rovertec.de,"Consulting, Industrial, Productivity Tools","Bippen, Niedersachsen, Germany","RoVerTec is a consulting firm and a distributor of special fasteners, elements and materials serving automotive and various sectors.","1,291,797",,,,,,,,,,,,
Intellilink,https://www.crunchbase.com/organization/intellilink,2000-01-01,year,11-50,,https://www.intellilink.com,"Business Development, Consulting, Enterprise Resource Planning (ERP), Productivity Tools","New York, New York, United States","Intellilink specializes in the implementation of ERP systems, productivity tools, and robotic process automation solutions to its clients.","1,343,568","1,622",,,,0,1,,100%,,"5,982,872",,
FinanceIsland,https://www.crunchbase.com/organization/financeisland,2000-01-01,year,1-10,,http://www.financeisland.com/,"Financial Services, Productivity Tools, Software","Portland, Oregon, United States","FinanceIsland specializes in financial analysis tools to manage cash flow, ROI, leasing and finance statistics for business owners.","1,629,873",,,,,,,,,,,,
JeoDijital,https://www.crunchbase.com/organization/jeodijital,2000-01-01,year,1-10,,https://jeodijital.com,"Geospatial, Information Technology, Productivity Tools, Software","Çankaya, Ankara, Turkey",JeoDijital provides earth observation and cutting-edge 3D geological modeling software tools and services.,"1,647,942",,,,,,,,,,,,
Energo Merega,https://www.crunchbase.com/organization/energo-merega,2000-01-01,day,11-50,,http://energomerega.com.ua,"Manufacturing, Productivity Tools, Retail","Kyiv, Kyyiv, Ukraine","Energomerega is a leading manufacturer of electrical equipment. for crane, elevator, and other industries.","1,665,716","2,082",,398.09%,,0,1,-33.33%,100%,100%,"5,012,831","-3,609,833",-41.86%
CJC Networks,https://www.crunchbase.com/organization/cjc-networks,2000-01-01,year,11-50,,https://www.cjc-networks.de,"Consulting, Productivity Tools, Software, Training","Hilpoltstein, Bayern, Germany","CJC Networks is an IT company that provides software development, IT consultation, training courses, workshops, and analysis tool services.","1,688,070",,,,,,,,,,,,
PNR America,https://www.crunchbase.com/organization/pnr-america,2000-01-01,year,1-10,,https://www.pnramerica.com/,"Industrial, Manufacturing, Productivity Tools","Poughkeepsie, New York, United States","PNR America is a manufacturing company that designs and distributes general purpose nozzles, tank washing heads, and air atomizers.","1,703,243",,,,,,,,,,,,
Optimus Ferretería Burgos,https://www.crunchbase.com/organization/optimus-ferretería-burgos,2000-01-01,year,1-10,,https://www.ferreteriaburgos.com/,"Consumer Electronics, Productivity Tools, Retail, Wholesale","Tarragona, Catalonia, Spain","Optimus Ferretería Burgos is a retailer of professional clothing, industrial machinery, chemical products, and household items.","1,708,616",,,,,,,,,,,,
Valter,https://www.crunchbase.com/organization/valter,2000-01-01,day,1-10,,http://www.walter.com.ua,"Machinery Manufacturing, Manufacturing, Productivity Tools, Wood Processing","Brovary, Ternopil's'ka Oblast', Ukraine",Valter specializes in the manufacturing of wood processing equipment and renders repair & maintenance services.,"1,761,193",,,,,,,,,,,,
Helixoft,https://www.crunchbase.com/organization/helixoft,2000-01-01,year,1-10,,https://www.helixoft.com,"Computer, Productivity Tools, Software","Presov, Presov, Slovakia (Slovak Republic)","Helixoft is a producer of VSdocman, Visual Studio documentation generator, and .NET code commenter - a documenting tool for developers.","1,800,761",739,"3,444",-55.02%,279.62%,43,1.41,40.6%,72.94%,-27.06%,"7,520,338","2,189,228",41.07%
Erba Náradie,https://www.crunchbase.com/organization/erba-náradie,2000-01-01,day,1-10,,http://www.erbanaradie.sk,"E-Commerce, Electronics, Productivity Tools","Bratislava, Bratislava, Slovakia (Slovak Republic)","Erba Náradie is an online shop that offers a wide range of electronic tools, machines, accessories, soldering and transportation equipment.","1,847,400",23,,,,0,1,,100%,,"10,792,001",,
Working Process Srl,https://www.crunchbase.com/organization/working-process-srl,2000-01-01,year,51-100,,https://www.working-process.com/,"Machinery Manufacturing, Manufacturing, Productivity Tools","Piacenza, Emilia-Romagna, Italy","Working Process Srl manufacturing is done by software, hardware, and mechanical components of materials technology.","1,929,943",,,,,,,,,,,,
Llamazares Y Remani Asociados,https://www.crunchbase.com/organization/llamazares-y-remani-asociados,2000-01-01,year,11-50,"Llamazares Y Remani Asociados manufactures alpha lawnmowers with various gasoline and gas-oil engines, as well as various starter motors, alternators, cutting bars, fingers, mulching, and E.S.M. The firm specializes in the production and distribution of replacement parts for industrial, automotive, and farming equipment from various brands.",https://www.alfa-remani.com/,"Agriculture, Automotive, Industrial Manufacturing, Machinery Manufacturing, Oil and Gas, Productivity Tools","Viella, Asturias, Spain",Llamazares Y Remani Asociados manufactures alpha mowers with various gasoline and gas-oil engine products.,"1,946,182",,,,,,,,,,,,
Proginta,https://www.crunchbase.com/organization/proginta,2000-01-01,year,1-10,"Proginta helps companies improve the efficiency of production, inventory management, and production audit.",http://www.lean2s.eu/index.php/en/,"Enterprise Software, Productivity Tools","Kaunas, Kauno Apskritis, Lithuania","Proginta helps companies improve the efficiency of production, inventory management, and production audit.","1,989,799",,,,,,,,,,,,
MB Associates,https://www.crunchbase.com/organization/mb-associates-aacb,2000-01-01,year,1-10,"MB Associates is a retailer of dimensional measuring tools and machinery. They also provide training about the usage of measuring tools. They provide services like the study of parts or drawings, selection of equipment and options, proposals for changes, delivery, installation support, training. Their services are suitable for watchmaking, turning, medical industry, machine-building industry, mechanics/micromechanics.",http://www.mb-associates.ch,"Productivity Tools, Retail, Sales, Test and Measurement, Training","Romanel-sur-lausanne, Vaud, Switzerland",MB Associates is a dimensional measuring machines and instruments retailer.,"2,044,039",,,,,,,,,,,,
Autex,https://www.crunchbase.com/organization/autex,2000-01-01,day,1-10,,http://www.oleje-autex.sk/,"Automotive, E-Commerce, Manufacturing, Productivity Tools","Zilina, Zilina, Slovakia (Slovak Republic)","Autex is an online shop that offers all related products for vehicles including, engine cleaner, lubricants, refrigerant and spare parts.","2,047,768","18,484",,850.82%,,497,3.65,264.75%,66.91%,-33.09%,"1,585,181","-3,417,761",-68.32%
eTrango,https://www.crunchbase.com/organization/etrango,2000-01-01,year,1-10,eTrango develops and provides tools and infrastructure that assist businesses in buying and selling online.,http://www.etrango.com,"Infrastructure, Internet, Productivity Tools","Newark, California, United States",eTrango develops and provides tools and infrastructure that assist businesses in buying and selling online.,"2,065,185",,,,,,,,,,,,
Team Tenex,https://www.crunchbase.com/organization/team-tenex,2000-01-01,day,1-10,,http://www.tenex.sk,"Fashion, Productivity Tools, Retail","Zvolen, Banska Bystrica, Slovakia (Slovak Republic)","Team Tenex provides and maintains sewing, cutting and ironing equipment, spare parts and other accessories for clothing industries.","2,159,666",241,,-87.94%,144.44%,273,2,100%,0%,200.03%,"9,486,907","4,521,586",91.06%
Ranchmark,https://www.crunchbase.com/organization/ranchmark,2000-01-01,day,1-10,,http://www.myopenx.com/,"Lifestyle, Manufacturing, Productivity Tools","Calabasas, California, United States","Ranchmark produces innovative products for everyday tasks like keyring openers, jar openers and paper splitters.","2,175,537","7,780",,"1,459.12%","3,592.73%",0,1,-66.67%,100%,,"2,583,238","-5,627,074",-68.54%
WinSCP,https://www.crunchbase.com/organization/winscp,2000-03-01,month,1-10,"Since 2000, we are developing WinSCP, a popular free SFTP and FTP client for Microsoft Windows, which has been downloaded more than 100 million times. WinSCP is a powerful multi-functional tool that will improve your productivity. WinSCP can copy files between a local and remote computer using multiple protocols: Amazon S3, FTP, FTPS, SCP, SFTP or WebDAV. On the one hand, WinSCP offers an easy to use graphical user interface; you can choose between Windows Explorer look and tabbed twin-panel interface like Norton commander. On the other hand, advanced users can automate WinSCP functionality using .NET assembly or simple batch file scripting. You can use WinSCP for all common operations with files. You can start editing a file directly from WinSCP, either using WinSCP internal text editor or using integration with your favorite external text editor. WinSCP operations are not limited to individual files; WinSCP offers several ways to synchronize your remote and local directories. After connecting to a site you can choose to store site information for repeated access, WinSCP can even share site settings with another popular open source tool PuTTY. WinSCP integrates also with Pageant (PuTTY authentication agent) for full support of public key authentication with SSH. Admins love WinSCP support for portable operation using a configuration file instead of registry entries, suitable for operation from removable media. A comprehensive WinSCP documentation is freely accessible at http://winscp.net. This site hosts also a very active user forum for support and feature requests. WinSCP is available in English and over 30 other languages. WinSCP is an open source software distributed free of charge under the terms of the GNU General Public License.",https://winscp.net/eng/index.php,"File Sharing, Productivity Tools, Software","Prague, Hlavni mesto Praha, Czech Republic","WinSCP is developing WinSCP, a popular free SFTP and FTP client for Microsoft Windows.","326,921","2,282,099","1,851,491.67",11.4%,-32.89%,202,2.33,-50.38%,53.53%,22.16%,"58,703","-3,363",-5.42%
Impresa SberNa,https://www.crunchbase.com/organization/impresa-sberna,2000-03-29,day,11-50,,http://www.sberna.net,"Industrial Engineering, Manufacturing, Mineral, Productivity Tools","Brescia, Lombardia, Italy","Impresa deals with manufacturing, assembling, and engineering of plants for mineral production and industries.","1,573,382",,,,,,,,,,,,
Opexcel,https://www.crunchbase.com/organization/opexcel,2000-04-02,day,1-10,,http://www.opexcel.fr/,"Medical Device, Productivity Tools, Supply Chain Management, Wholesale","Paris, Ile-de-France, France","Opexcel is a wholesale company that offers scientific, laboratory, education equipment, optical, medical simulator, and accessories.","1,813,311",,,,,,,,,,,,
Minimotor Benelux,https://www.crunchbase.com/organization/minimotor-benelux,2000-04-06,day,1-10,,http://www.minimotor.be,"Hardware, Productivity Tools, Sales","Noorderwijk, Antwerpen, Belgium","Benelux is into the selling of small electric drives like encoders, coreless motors, steppers, gearheads, piezo, etc.","2,182,491",,,,,,,,,,,,
GoBaKo,https://www.crunchbase.com/organization/gobako,2000-04-17,day,,,http://www.gobako.sk,"Building Material, E-Commerce, Productivity Tools","Kosice, Kosice, Slovakia (Slovak Republic)","GoBaKo is an e-Commerce site that offers welding tools, protective equipment for welding, and electric, pneumatic and hand tools.","1,490,218","6,692","19,926.33",42.56%,776.77%,868,7.13,425.76%,36.13%,-56.04%,"2,877,672","-620,941",-17.75%
Professional CZ,https://www.crunchbase.com/organization/profesional,2000-05-03,day,11-50,"Profesional provides personal protective work equipment, work shoes, work clothes, and professional clothing that meets basic technical regulations. They provide welding gloves, dielectric gloves, disposable, gloves, work gloves, anti-cut footwear, rubber and PVC footwear, and trekking shoes.",https://www.profesional-plzen.cz,"E-Commerce, Productivity Tools, Sales","Plzen, Plzensky kraj, Czech Republic",Professional CZ provides work clothes and protective work equipment online.,"1,376,898",554,"3,967",-95%,-93.08%,72,5,22.71%,0%,,"8,062,997","6,006,307",292.04%
WebProof,https://www.crunchbase.com/organization/webproof,2000-06-19,day,11-50,"When many people are working on the same project, many versions of the project are always in circulation. This can easily cause confusion and errors. When you work in WebProof, you're always in control of the assignment, because everything takes place online and in perfect, sorted order. Today, WebProof isn't just an online proofing platform, it's also one of the world's most automatic workflows. This has resulted in the process optimisation of the entire graphic production of large companies such as LEGO, Berlingske Media and ICA. All these companies have over 1000 users and have saved millions and shortened their production times based on LEAN principles.",http://www.webproof.com,"Collaboration, Enterprise Software, Graphic Design, Marketing Automation, Printing, Productivity Tools, SaaS","Copenhagen, Hovedstaden, Denmark",Lightning fast proofing. Accurate and straightforward.,"712,710","54,622","17,791.33",737.63%,13.55%,377,1.25,2.78%,83.6%,-0.61%,"818,374","-1,922,444",-70.14%
Direct4Workgear,https://www.crunchbase.com/organization/direct4workgear,2000-11-02,day,11-50,"Direct4workgear is a online paltform that offers powertool accessories, Airtool,Festool,Metabo. Head Protection, Eye Protection, Ear Protection, Respiratory Equipment, Hand Protection, Protective Footwear etc  for protection against most hazards that are faced within the workplace from head to toe.",https://direct4workgear.co.uk,"Automotive, E-Commerce, E-Commerce Platforms, Google Glass, Industrial Automation, Product Design, Productivity Tools","Goole, East Riding of Yorkshire, United Kingdom",Direct4Workgear is an E-commerce website.,"934,643",,,,,,,,,,,,
Tecnitude,https://www.crunchbase.com/organization/tecnitude,2000-12-31,day,1-10,,https://www.tecnitude.com,"Freight Service, Industrial, Productivity Tools, Rental, Transportation","Riedisheim, Alsace, France","Tecnitude provides handling and sorting equipment like treadmills, conveyor belts, mobile elevators, storage, and feed hoppers.","1,438,958",72,,,,0,1,,100%,,"10,523,831",,
MobiSystems,https://www.crunchbase.com/organization/mobisystems,2001-01-01,day,101-250,"MobiSystems has been a leading provider of mobile productivity and business applications for over 20 years. Our solutions extend the usability of mobile devices across platforms, allowing for enhanced desktop-grade productivity regardless of location. As the developer of the award winning mobile app OfficeSuite, MobiSystems serves over 500 million individual and enterprise users in 195 countries. OfficeSuite leads app downloads and ratings in Google Play, Amazon App Store and Samsung Apps, as well as Apple's App Store.",https://www.mobisystems.com/,"Cloud Storage, Enterprise Software, Information Technology, Mobile Apps, Productivity Tools, Software","San Diego, California, United States",MobiSystems has been a leading provider of mobile productivity and business applications for over 20 years.,"169,313","1,262,846","956,994.17",52.96%,35.26%,491,1.72,-9%,52.39%,11.49%,"92,562","-29,471",-24.15%
Adstream,https://www.crunchbase.com/organization/adstream-2,2001-01-01,year,501-1000,"Adstream connects the world’s marketing and advertising ecosystem. They started small in Australia in 2001, and are now the worlds leading ad workflow, management, and cross-media distribution provider, with 500 employees and offices in 30 countries worldwide.",http://www.adstream.com/,"Advertising, Asset Management, Digital Media, Productivity Tools","London, England, United Kingdom",Adstream is an advertising content management and cross-media distribution technology platform. Changing the way advertisers track content.,"184,002","174,627","326,936.67",-56.43%,-0.36%,"1,371",6.79,-3.58%,20.02%,9.4%,"376,760","172,066",84.06%
Codfuel,https://www.crunchbase.com/organization/codfuel,2001-01-01,year,1-10,"Codfuel develops an online tool for comparing oil prices. Their services include oil burner repair service, annual tune-ups, and system maintenance. They offer customer support through email and phone contact.",https://www.codfuel.com,"Productivity Tools, Real Estate, Service Industry","Bayport, New York, United States",Codfuel develops online oil price comparison system.,"290,763","34,614","76,235",72.88%,-14.63%,175,4.3,-13.43%,6.21%,47.86%,"1,096,391","-394,474",-26.46%
Interlincx Media,https://www.crunchbase.com/organization/interlincx-media,2001-01-01,year,11-50,Interlincx is a technology company that helps online advertisers realize incremental revenue from their web properties through a unique set of products and in-house technology.,https://www.interlincx.com,"Advertising, Content, Digital Marketing, Productivity Tools","West Hollywood, California, United States",Interlincx Media is an IT company that designs and develops proprietary tools and technology to help online advertising industries.,"413,650",184,,,,0,1,,100%,,"9,799,787",,
Tempest,https://www.crunchbase.com/organization/tempest-2304,2001-01-01,year,11-50,,https://tempestplus.com/,"Aerospace, Manufacturing, Productivity Tools","Burlington, North Carolina, United States","Tempest manufactures products for the aviation industry such as dry air pumps, spark plugs, oil filters, fuel pumps and specialty tools.","737,210","3,266","3,746.33",-56.79%,-65.49%,117,1.56,-46.57%,44.43%,68.36%,"4,135,667","1,615,339",64.09%
Rotabroach,https://www.crunchbase.com/organization/rotabroach,2001-01-01,year,11-50,,https://www.rotabroach.co.uk,"Industrial Engineering, Machinery Manufacturing, Manufacturing, Productivity Tools","Sheffield, Sheffield, United Kingdom","Rotabroach is a manufacturing company that produces annular cutters, rail drills, chop saws, and magnetic drilling machines.","795,796","9,309",,568.27%,,338,1.1,10.08%,89.92%,-10.08%,"2,323,977","-3,827,321",-62.22%
INBOX,https://www.crunchbase.com/organization/inbox-bcb1,2001-01-01,year,51-100,INBOX relies on Big Data and Machine Learning to offer a wide range of tools in mode.,https://www.inbox.fr/,"Machine Learning, Productivity Tools","Malakoff, Ile-de-France, France",INBOX relies on Big Data and Machine Learning to offer a wide range of tools in mode.,"960,323","20,476","25,784.83",-7.02%,-40%,3,1.28,-5.46%,71.59%,11.55%,"1,497,538","86,316",6.12%
Delphinet,https://www.crunchbase.com/organization/delphinet,2001-01-01,year,1-10,,https://www.delphinet.it/,"E-Commerce, Internet of Things, Productivity Tools, Software, Web Development","Rome, Lazio, Italy","Delphinet is a digital agency that offers web design, e-commerce, online payment gateway, IoT, and software development services.","1,068,576","10,941","6,211.33",107.96%,"7,200%","2,044",1.55,23.62%,44.79%,-41.5%,"2,131,890","-1,191,808",-35.86%
Microcut,https://www.crunchbase.com/organization/microcut,2001-01-01,year,1-10,,https://microcutusa.com/,"Industrial Engineering, Machinery Manufacturing, Manufacturing, Mechanical Engineering, Productivity Tools","Plymouth, Minnesota, United States",Microcut is a manufacturing company that distributes carbide end mills and rotary application cutting tools for various industries.,"1,160,303","1,564",,,,0,1,,100%,,"6,073,927",,
Atanasoft,https://www.crunchbase.com/organization/atanasoft,2001-01-01,month,,,https://www.atanasoft.com,"Information Technology, Productivity Tools, Software","Ames, Iowa, United States","Atanasoft is a developer of productivity, compression and synchronization software products.","1,176,138",,,,,,,,,,,,
E-Spec,https://www.crunchbase.com/organization/e-spec,2001-01-01,year,1-10,,http://www.e-spec.net,"Apps, Developer Tools, Productivity Tools, Retail, Software","Coppell, Texas, United States",E-Spec provides a range of software-based plug-ins for adobe illustrator.,"1,251,359",,,,,,,,,,,,
TTS,https://www.crunchbase.com/organization/tts-9e66,2001-01-01,day,11-50,,http://tts-products.com,"E-Commerce, Hardware, Productivity Tools","Los Angeles, California, United States","TTS is an online shop that provides industrial and commercial woodworking tools, supplies, and industrial cleaning equipment.","1,273,886","5,339",,250.33%,,0,1.02,2.42%,97.58%,-2.42%,"3,348,694","-2,539,980",-43.13%
Progress In Work,https://www.crunchbase.com/organization/progress-in-work,2001-01-01,year,1-10,,https://www.progressinwork.com,"Consulting, Productivity Tools, Service Industry","New York, New York, United States","Progress In Work is a business consulting firm specializing in outplacement, executive, legal industry coaching, career counseling.","1,278,876",,,,,,,,,,,,
D tect Systems,https://www.crunchbase.com/organization/d-tect-systems,2001-01-01,year,1-10,"D-tect Systems offers a rugged, field-ready line of equipment designed for accurate radiation detection. Their products are used widely by first responders to combat the urgent threat of substances dirty bomb materials, nuclear device components, and toxic industrial chemicals. Its mission is to provide homeland security and other services with the most powerful, affordable, and deployable security products available.",https://www.dtectsystems.com,"Consumer Electronics, Manufacturing, Productivity Tools","Draper, Utah, United States","D-tect Systems offers a rugged, field-ready line of equipment designed for accurate radiation detection.","1,415,748",,,,,,,,,,,,
Boostock,https://www.crunchbase.com/organization/boostock,2001-01-01,day,1-10,,http://www.boostock.se/,"Graphic Design, Productivity Tools","Nacka, Stockholms Lan, Sweden",Boostock is a production company focusing on design and communication.,"1,418,914",,,,,,,,,,,,
